kir_construct,anap_present,sur_construct,ha_present,log_counts,control_mean,centered_response
WT-GFP,TRUE,SUR,TRUE,9.57193053784753,7.3107572742216105,2.2611732636259196
WT-GFP,TRUE,SUR,TRUE,9.390808090938378,7.3107572742216105,2.080050816716768
WT-GFP,TRUE,SUR,TRUE,9.432892566217678,7.3107572742216105,2.1221352919960674
WT-GFP,TRUE,SUR,FALSE,7.079259412019641,7.3107572742216105,-0.23149786220196944
WT-GFP,TRUE,SUR,FALSE,7.075236384556096,7.3107572742216105,-0.23552088966551477
WT-GFP,TRUE,SUR,FALSE,7.110843513230821,7.3107572742216105,-0.19991376099078906
WT-GFP,TRUE,None,TRUE,8.31867632640324,7.3107572742216105,1.00791905218163
WT-GFP,TRUE,None,TRUE,8.473920866707825,7.3107572742216105,1.1631635924862147
WT-GFP,TRUE,None,TRUE,8.435013394043603,7.3107572742216105,1.1242561198219923
WT-GFP,FALSE,SUR,TRUE,9.341820536733211,7.3107572742216105,2.0310632625116005
WT-GFP,FALSE,SUR,TRUE,9.430003910610926,7.3107572742216105,2.119246636389316
WT-GFP,FALSE,SUR,TRUE,9.300865391185921,7.3107572742216105,1.9901081169643104
F183*-GFP,TRUE,SUR,TRUE,9.138759849475921,7.06633870318784,2.0724211462880806
F183*-GFP,TRUE,SUR,TRUE,9.003580932180686,7.06633870318784,1.9372422289928455
F183*-GFP,TRUE,SUR,TRUE,9.012811749845977,7.06633870318784,1.9464730466581361
F183*-GFP,TRUE,SUR,FALSE,6.629478611779732,7.06633870318784,-0.436860091408108
F183*-GFP,TRUE,SUR,FALSE,7.220870860407765,7.06633870318784,0.15453215721992475
F183*-GFP,TRUE,SUR,FALSE,7.348666637376024,7.06633870318784,0.28232793418818325
F183*-GFP,TRUE,None,TRUE,8.129753188906784,7.06633870318784,1.063414485718944
F183*-GFP,TRUE,None,TRUE,8.210446600416812,7.06633870318784,1.144107897228972
F183*-GFP,TRUE,None,TRUE,8.141507968097574,7.06633870318784,1.075169264909734
F183*-GFP,FALSE,SUR,TRUE,9.262845415222635,7.06633870318784,2.196506712034795
F183*-GFP,FALSE,SUR,TRUE,9.134213676055905,7.06633870318784,2.067874972868065
F183*-GFP,FALSE,SUR,TRUE,9.061466955328655,7.06633870318784,1.9951282521408142
W311*-GFP,TRUE,SUR,TRUE,8.804159459871517,7.303298582300395,1.5008608775711219
W311*-GFP,TRUE,SUR,TRUE,8.636697494658236,7.303298582300395,1.3333989123578407
W311*-GFP,TRUE,SUR,FALSE,7.0272467921885555,7.303298582300395,-0.2760517901118398
W311*-GFP,TRUE,SUR,FALSE,7.121612527510702,7.303298582300395,-0.18168605478969369
W311*-GFP,TRUE,SUR,FALSE,7.302007057220277,7.303298582300395,-0.0012915250801182054
W311*-GFP,TRUE,None,TRUE,8.088400087851406,7.303298582300395,0.7851015055510109
W311*-GFP,TRUE,None,TRUE,8.181238354203016,7.303298582300395,0.8779397719026205
W311*-GFP,TRUE,None,TRUE,8.21055247810473,7.303298582300395,0.9072538958043355
W311*-GFP,FALSE,SUR,TRUE,7.9457173124372025,7.303298582300395,0.6424187301368072
W311*-GFP,FALSE,SUR,TRUE,7.883554102899603,7.303298582300395,0.5802555205992075
W311*-GFP,FALSE,SUR,TRUE,7.737945625709545,7.303298582300395,0.43464704340915006
WT,TRUE,SUR,TRUE,9.405893660005304,7.712139544275109,1.6937541157301954
WT,TRUE,SUR,TRUE,8.953713220220507,7.712139544275109,1.2415736759453981
WT,TRUE,SUR,TRUE,9.189617590774368,7.712139544275109,1.4774780464992592
WT,TRUE,SUR,FALSE,7.743603010442348,7.712139544275109,0.03146346616723861
WT,TRUE,SUR,FALSE,7.686279035805507,7.712139544275109,-0.025860508469602195
WT,TRUE,SUR,FALSE,7.706536586577472,7.712139544275109,-0.005602957697637301
WT,TRUE,None,TRUE,8.190910923954423,7.712139544275109,0.4787713796793138
WT,TRUE,None,TRUE,8.42648742168433,7.712139544275109,0.7143478774092209
WT,TRUE,None,TRUE,8.423723420437664,7.712139544275109,0.711583876162555
WT,FALSE,SUR,TRUE,9.551993297096645,7.712139544275109,1.8398537528215364
WT,FALSE,SUR,TRUE,9.301880830526576,7.712139544275109,1.589741286251467
WT,FALSE,SUR,TRUE,9.415467334132309,7.712139544275109,1.7033277898572
F183*,TRUE,SUR,TRUE,9.024646417210915,7.696689365085968,1.3279570521249475
F183*,TRUE,SUR,TRUE,9.040073004260567,7.696689365085968,1.3433836391745988
F183*,TRUE,SUR,TRUE,8.976663768347139,7.696689365085968,1.2799744032611713
F183*,TRUE,SUR,FALSE,7.719659072164094,7.696689365085968,0.02296970707812651
F183*,TRUE,SUR,FALSE,7.57091086024071,7.696689365085968,-0.12577850484525754
F183*,TRUE,SUR,FALSE,7.799498162853099,7.696689365085968,0.10280879776713103
F183*,TRUE,None,TRUE,8.2602003781509,7.696689365085968,0.5635110130649323
F183*,TRUE,None,TRUE,8.485279345238862,7.696689365085968,0.7885899801528939
F183*,TRUE,None,TRUE,8.298987246130318,7.696689365085968,0.6022978810443504
F183*,FALSE,SUR,TRUE,9.056039179304642,7.696689365085968,1.3593498142186746
F183*,FALSE,SUR,TRUE,8.957640535411203,7.696689365085968,1.2609511703252352
F183*,FALSE,SUR,TRUE,9.359981562777367,7.696689365085968,1.6632921976913995
W311*,TRUE,SUR,TRUE,8.300636137862934,7.531095856446369,0.7695402814165657
W311*,TRUE,SUR,TRUE,7.870900379361346,7.531095856446369,0.3398045229149771
W311*,TRUE,SUR,TRUE,8.07838085700341,7.531095856446369,0.5472850005570411
W311*,TRUE,SUR,FALSE,7.481548107685114,7.531095856446369,-0.04954774876125434
W311*,TRUE,SUR,FALSE,7.443801304053349,7.531095856446369,-0.08729455239301931
W311*,TRUE,SUR,FALSE,7.667938157600642,7.531095856446369,0.13684230115427365
W311*,TRUE,None,TRUE,8.074017130109342,7.531095856446369,0.5429212736629729
W311*,TRUE,None,TRUE,8.364156375429681,7.531095856446369,0.8330605189833129
W311*,TRUE,None,TRUE,7.98669027626439,7.531095856446369,0.45559441981802173
W311*,FALSE,SUR,TRUE,8.039008937730506,7.531095856446369,0.507913081284137
W311*,FALSE,SUR,TRUE,8.104396063812764,7.531095856446369,0.5733002073663958
W311*,FALSE,SUR,TRUE,7.869988469613158,7.531095856446369,0.33889261316678976
WT-GFP,FALSE,SUR,TRUE,9.16201366597349,7.3107572742216105,1.8512563917518792
WT-GFP,FALSE,None,TRUE,8.22861985294807,7.3107572742216105,0.9178625787264592
WT-GFP,FALSE,SUR,TRUE,9.302679886740188,7.3107572742216105,1.9919226125185778
WT-GFP,FALSE,TMD0_195,TRUE,8.88742427768189,7.3107572742216105,1.5766670034602788
WT-GFP,FALSE,TMD0_232,TRUE,8.849134295275913,7.3107572742216105,1.5383770210543029
WT-GFP,FALSE,TMD0_1353,TRUE,8.412629541622236,7.3107572742216105,1.1018722674006254
WT-GFP,FALSE,TMD0_1353,TRUE,8.385707632892863,7.3107572742216105,1.074950358671253
WT-GFP,TRUE,SUR,FALSE,7.380800252103674,7.3107572742216105,0.07004297788206326
WT-GFP,FALSE,SUR,TRUE,9.267288090587877,7.3107572742216105,1.956530816366267
WT-GFP,FALSE,None,TRUE,8.278851786121274,7.3107572742216105,0.9680945118996638
WT-GFP,FALSE,SUR,TRUE,9.359159809254505,7.3107572742216105,2.0484025350328947
WT-GFP,FALSE,TMD0_195,TRUE,8.998968058650219,7.3107572742216105,1.688210784428608
WT-GFP,FALSE,TMD0_232,TRUE,8.886983605378937,7.3107572742216105,1.5762263311573266
WT-GFP,FALSE,TMD0_1353,TRUE,8.20497270733234,7.3107572742216105,0.8942154331107295
WT-GFP,FALSE,TMD0_1353,TRUE,8.325473463323586,7.3107572742216105,1.0147161891019758
WT-GFP,TRUE,SUR,FALSE,7.651675870352678,7.3107572742216105,0.34091859613106745
WT-GFP,FALSE,SUR,TRUE,9.226740704106799,7.3107572742216105,1.9159834298851885
WT-GFP,FALSE,None,TRUE,8.494182432516059,7.3107572742216105,1.1834251582944484
WT-GFP,FALSE,TMD0_195,TRUE,8.980405294030488,7.3107572742216105,1.6696480198088777
WT-GFP,FALSE,TMD0_232,TRUE,8.839687363317685,7.3107572742216105,1.5289300890960744
WT-GFP,FALSE,TMD0_1353,TRUE,8.436046157775493,7.3107572742216105,1.1252888835538828
WT-GFP,FALSE,TMD0_1353,TRUE,8.304588577640974,7.3107572742216105,0.9938313034193635
WT-GFP,TRUE,SUR,FALSE,7.566728213066753,7.3107572742216105,0.25597093884514255
W311*-GFP,TRUE,SUR,TRUE,9.004321373782643,7.303298582300395,1.7010227914822478
W311*-GFP,TRUE,SUR,TRUE,8.953759691733229,7.303298582300395,1.6504611094328334
W311*-GFP,TRUE,SUR,TRUE,8.942999593366041,7.303298582300395,1.6397010110656458
W311*-GFP,TRUE,SUR,FALSE,7.442479769064448,7.303298582300395,0.1391811867640529
W311*-GFP,TRUE,SUR,FALSE,7.4281347940287885,7.303298582300395,0.12483621172839321
W311*-GFP,TRUE,SUR,FALSE,7.498310553789601,7.303298582300395,0.19501197148920557
W311*-GFP,TRUE,TMD0_232,TRUE,8.401400540781545,7.303298582300395,1.0981019584811493
W311*-GFP,TRUE,TMD0_232,TRUE,8.403120521175818,7.303298582300395,1.0998219388754231
W311*-GFP,TRUE,TMD0_232,TRUE,8.232996110392154,7.303298582300395,0.9296975280917588
W311*-GFP,TRUE,TMD0_195,TRUE,8.294466226161592,7.303298582300395,0.9911676438611972
W311*-GFP,TRUE,TMD0_195,TRUE,8.290034611362518,7.303298582300395,0.986736029062123
W311*-GFP,TRUE,TMD0_195,TRUE,8.4345689040342,7.303298582300395,1.1312703217338038
W311*-GFP,TRUE,TMD0_232,TRUE,8.376576957056512,7.303298582300395,1.073278374756117
W311*-GFP,TRUE,TMD0_232,TRUE,8.4345689040342,7.303298582300395,1.1312703217338038
W311*-GFP,TRUE,TMD0_232,TRUE,8.164352855784436,7.303298582300395,0.861054273484041
W311*-GFP,TRUE,TMD0_195,TRUE,8.41664050733828,7.303298582300395,1.1133419250378855
W311*-GFP,TRUE,TMD0_195,TRUE,8.4048337166199385,7.303298582300395,1.1015351343195432
W311*-GFP,TRUE,TMD0_195,TRUE,8.403120521175818,7.303298582300395,1.0998219388754231
W311*-GFP,TRUE,TMD0_232,TRUE,8.238046103128795,7.303298582300395,0.9347475208283997
W311*-GFP,TRUE,TMD0_232,TRUE,8.30319605742049,7.303298582300395,0.9998974751200942
W311*-GFP,TRUE,TMD0_232,TRUE,8.247973266361807,7.303298582300395,0.944674684061412
W311*-GFP,TRUE,TMD0_195,TRUE,8.32633586092875,7.303298582300395,1.0230372786283555
W311*-GFP,TRUE,TMD0_195,TRUE,8.301029995663981,7.303298582300395,0.997731413363586
W311*-GFP,TRUE,TMD0_195,TRUE,8.222716471147583,7.303298582300395,0.919417888847188
W311*-GFP,TRUE,None,TRUE,8.089905111439398,7.303298582300395,0.7866065291390028
W311*-GFP,TRUE,None,TRUE,8.181843587944773,7.303298582300395,0.8785450056443773
W311*-GFP,TRUE,None,TRUE,8.209515014542632,7.303298582300395,0.9062164322422364
