construct,model,hierarchy,D,D.lower,D.upper,log_Ka,log_Ka.lower,log_Ka.upper,c,c.lower,c.upper,log_L,log_L.lower,log_L.upper,.width,.point,.interval
W311*-GFP+SUR,coop,fixed,0.130644504032003,0.01890804559314501,0.23894933921758865,4.899021596377205,4.687315392312042,5.127658944984135,0.14023094321406254,0.07628546398698308,0.2616270022028126,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR,coop,individual,0.045055736151068226,0.004462738304173567,0.11423506069872513,4.931731578498959,4.774689649865244,5.17575149355194,0.1350660566570671,0.07713033684900303,0.21016997609946833,-0.20484929440281524,-1.1770069331600377,0.6374616725744382,0.95,median,qi
W311*-GFP+SUR,coop,population,0.14778107541192737,0.02034363347826586,0.2943591346211959,4.8200397381929765,4.536228822711645,5.286645181555108,0.16538482481713357,0.05647933762120488,0.3567605022397352,-0.4171027192868664,-1.3807473261945817,0.48245215842633044,0.95,median,qi
W311*-GFP+SUR,mwc,fixed,0.03744671782420622,0.0017556023109157825,0.18155161751766802,4.443054525841324,4.327165111641426,4.556895625901629,NA,NA,NA,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR,mwc,individual,0.026066396879217746,9.348964547967246e-4,0.12727203003407184,4.4057877649009924,4.2961931320982885,4.514310440147642,NA,NA,NA,-0.5337549029914098,-1.5077037797707846,0.5853783620376151,0.95,median,qi
W311*-GFP+SUR,mwc,population,0.04113314858348144,0.001648701616082028,0.19417101684471982,4.319985136437019,4.214953901362306,4.436202401066057,NA,NA,NA,-1.0486308299356928,-1.8491623439548435,-0.45419091712626775,0.95,median,qi
W311*-GFP+SUR,single,fixed,0.030437708025986887,0.002920325989711363,0.0682624563760015,4.448244267475784,4.340767623074816,4.5520235797598785,NA,NA,NA,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR,single,individual,0.015504903166676742,7.878935920245828e-4,0.05988321199662953,4.387146203394774,4.28326718710603,4.49110139439247,NA,NA,NA,-0.5795840871488225,-1.5558729639812297,0.5782020830320302,0.95,median,qi
W311*-GFP+SUR,single,population,0.04588816202698387,0.005440495412547088,0.09792946222805061,4.329692387994945,4.221732538113889,4.436176301335979,NA,NA,NA,-1.064873339470408,-1.8384443262974566,-0.4706936783684183,0.95,median,qi
W311*-GFP+SUR-K205A,coop,fixed,0.5150797603918422,0.4224100301192006,0.5885009846384173,4.096641912792482,3.7624116034409627,4.4795715014216055,0.3487899806420871,0.12608862075160965,0.9086928036521648,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR-K205A,coop,individual,0.4169114977369147,0.284594009168838,0.5299738104079464,4.202489600238784,3.8725778637300996,4.576113546242137,0.3236970291984225,0.133786737065816,0.801895445745115,0.13388399031143344,-0.8144200244706933,0.869544429688129,0.95,median,qi
W311*-GFP+SUR-K205A,coop,population,0.5172694908558376,0.3216244330000226,0.6423153515446398,4.104780466633793,3.7317244391139472,4.676047382428259,0.34545061967319085,0.0970023248036534,0.9126813354599671,-0.16108589719129363,-1.1790782523207475,0.6386541939284904,0.95,median,qi
W311*-GFP+SUR-K205A,mwc,fixed,0.5237111741137395,0.417083662853893,0.6020583027769273,3.782836872379334,3.627634596531477,3.9287887999068016,NA,NA,NA,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR-K205A,mwc,individual,0.44895796592027126,0.3390979471117629,0.5534348722745831,3.8402129219719208,3.6987869879738065,3.981762582176031,NA,NA,NA,-0.026988297974306998,-0.990695596784663,0.7468711857523896,0.95,median,qi
W311*-GFP+SUR-K205A,mwc,population,0.5499246828825693,0.39454921044927016,0.6519228352805044,3.756887532840783,3.586093940671101,3.9509772666989353,NA,NA,NA,-0.37000536864167743,-1.341203771443943,0.4095021908279343,0.95,median,qi
W311*-GFP+SUR-K205A,single,fixed,0.16635789119986594,0.09817986447448808,0.24126087964317228,3.6290153768996003,3.4902127053695042,3.783403762981963,NA,NA,NA,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR-K205A,single,individual,0.11089653723867904,0.0444565128988614,0.20977420769630895,3.6878804456837386,3.53303698802788,3.85325613485629,NA,NA,NA,-0.024799101906916754,-0.9543534013684567,0.6986886595039254,0.95,median,qi
W311*-GFP+SUR-K205A,single,population,0.18324906404761232,0.060934959080229494,0.31821183519364743,3.619156856593393,3.447072531942799,3.8349384373011857,NA,NA,NA,-0.24738046121468038,-1.296197884768602,0.5296626741790915,0.95,median,qi
W311*-GFP+SUR-K205E,coop,fixed,0.6110057085963498,0.5175871487772252,0.6928719798584974,3.6520406616903704,3.3243011987067312,4.171680947384319,0.4921434905076058,0.13289356382444933,0.9643079199330662,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR-K205E,coop,individual,0.4888510268096894,0.24202706065446394,0.616696226020133,3.7031045052421296,3.4061110774258805,4.408145649829416,0.49147934687922834,0.11768883251191992,0.9525330207672015,0.17357393744864089,-0.9801209062254803,1.2110554184159106,0.95,median,qi
W311*-GFP+SUR-K205E,coop,population,0.5842741890633745,0.31560115169297354,0.7296578694905207,3.7086671217613567,3.3379561549599175,4.408563858718628,0.45366220047781997,0.09790822258342922,0.9583149102572414,0.0339251104616837,-1.1139059164996274,0.9872587483597149,0.95,median,qi
W311*-GFP+SUR-K205E,mwc,fixed,0.6136435030015703,0.5132416868343971,0.6949630482516538,3.3996692136033606,3.225681419475557,3.580892845711297,NA,NA,NA,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR-K205E,mwc,individual,0.5155354839386393,0.37398443556664984,0.620550094475606,3.4239205390448877,3.3000308438852954,3.5624823611509178,NA,NA,NA,-0.05064363562156668,-1.0982991226668888,0.8443563610663746,0.95,median,qi
W311*-GFP+SUR-K205E,mwc,population,0.6192712825783477,0.41879281861705003,0.7388338429340812,3.3987913946164636,3.2062069172496614,3.6209611809787035,NA,NA,NA,-0.17716828705566876,-1.2549422434388264,0.7043578875094871,0.95,median,qi
W311*-GFP+SUR-K205E,single,fixed,0.2873158687216561,0.20083348565249873,0.38177315377628374,3.3057600157376417,3.1524686539574076,3.4695833377114234,NA,NA,NA,NA,NA,NA,0.95,median,qi
W311*-GFP+SUR-K205E,single,individual,0.2125465148528165,0.09010908138147798,0.3416950152193358,3.304987614518356,3.1793363907075047,3.4521968659760893,NA,NA,NA,-0.12622218773635646,-1.0942017113861637,0.7448046502522818,0.95,median,qi
W311*-GFP+SUR-K205E,single,population,0.30463346178910256,0.12930175391815937,0.46811446478575963,3.310564010833968,3.1345152458186214,3.5012804023398334,NA,NA,NA,-0.194850239445012,-1.1897965296870954,0.5157483134004596,0.95,median,qi
"W311*,C166S-GFP+SUR",coop,fixed,0.7217703531522848,0.6305745468012283,0.839891112339413,4.481168675308063,4.113975739693011,5.148543832256167,0.5177775231956678,0.08560317131247795,0.9703208631298488,NA,NA,NA,0.95,median,qi
"W311*,C166S-GFP+SUR",coop,individual,0.8022108804693769,0.20907792893835245,0.8864817057917739,4.417499838029738,4.076886106060936,5.24444129015684,0.5499245716806843,0.12706116755127395,0.9759845087851102,0.1683296902849107,-0.9983226150597558,1.364805655501148,0.95,median,qi
"W311*,C166S-GFP+SUR",coop,population,0.8297484549982924,0.503938958682491,0.9447557390658428,4.432448151329515,4.036562814026259,5.139585048103437,0.5178001353137621,0.093892887396909,0.9728384976771111,0.3204501991644493,-0.9569920147705616,1.46509590906407,0.95,median,qi
"W311*,C166S-GFP+SUR",mwc,fixed,0.7278296960865229,0.6396168249087428,0.8450584078463533,4.224629881826943,3.994959578238365,4.462500422394459,NA,NA,NA,NA,NA,NA,0.95,median,qi
"W311*,C166S-GFP+SUR",mwc,individual,0.8044867083246182,0.28483181103769434,0.8895386663538473,4.180326495105222,3.974027531469172,4.610322085960789,NA,NA,NA,0.15223088486077063,-1.051116916974011,1.3589805002393645,0.95,median,qi
"W311*,C166S-GFP+SUR",mwc,population,0.8373914093333072,0.5248817247786628,0.9451787574706825,4.184328783955676,3.9294871929848774,4.469815161274167,NA,NA,NA,0.29267131557681275,-1.0386064359666818,1.4052429172747032,0.95,median,qi
"W311*,C166S-GFP+SUR",single,fixed,0.443760631394187,0.2724205662348042,0.7916211013462844,4.185580684747351,3.932867326602035,4.470436372826594,NA,NA,NA,NA,NA,NA,0.95,median,qi
"W311*,C166S-GFP+SUR",single,individual,0.5946223092925527,0.37628743447523477,0.8069468879143843,4.141230449999291,3.914666678689786,4.36998935762587,NA,NA,NA,0.10100090195787934,-1.0773428261669316,1.2353558408027692,0.95,median,qi
"W311*,C166S-GFP+SUR",single,population,0.7039165469232835,0.2876587673156503,0.9099522236492393,4.154357978018283,3.880853296420422,4.430345538680506,NA,NA,NA,0.0912397289890852,-1.1504287829396556,1.0525150890727024,0.95,median,qi
W311*-GFP+SUR,coop,fixed,0.130644504032003,0.03565566087503906,0.219894306720695,4.899021596377205,4.720208655105058,5.085441995399404,0.14023094321406254,0.08456727828951202,0.23254558184525229,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR,coop,individual,0.045055736151068226,0.008622198235912126,0.0992528907985762,4.931731578498959,4.801582098656656,5.108797336636865,0.1350660566570671,0.08700783500920752,0.19312307079124,-0.20484929440281524,-0.9973645245911352,0.4437866589306386,0.89,median,qi
W311*-GFP+SUR,coop,population,0.14778107541192737,0.03523440934505724,0.2690570174706067,4.8200397381929765,4.587684150824699,5.166399153978015,0.16538482481713357,0.07566522294715491,0.3089620435519034,-0.4171027192868664,-1.2045287721544995,0.3133710165324972,0.89,median,qi
W311*-GFP+SUR,mwc,fixed,0.03744671782420622,0.0033954141384507537,0.14596037087204233,4.443054525841324,4.347838430466892,4.537232653582393,NA,NA,NA,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR,mwc,individual,0.026066396879217746,0.0019771632858474174,0.1021302670288343,4.4057877649009924,4.319312478449069,4.49663954930683,NA,NA,NA,-0.5337549029914098,-1.3275490601632376,0.3561011216997298,0.89,median,qi
W311*-GFP+SUR,mwc,population,0.04113314858348144,0.003582770068861362,0.1543410029557456,4.319985136437019,4.232627367148659,4.4131125845942885,NA,NA,NA,-1.0486308299356928,-1.6722922191363918,-0.5454698575558042,0.89,median,qi
W311*-GFP+SUR,single,fixed,0.030437708025986887,0.005976317212162281,0.061135321199926825,4.448244267475784,4.360331437635942,4.533069729305333,NA,NA,NA,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR,single,individual,0.015504903166676742,0.0016500771123685604,0.04950675088170587,4.387146203394774,4.3013552029051745,4.47477661422825,NA,NA,NA,-0.5795840871488225,-1.3708438685822821,0.35639714773891396,0.89,median,qi
W311*-GFP+SUR,single,population,0.04588816202698387,0.010228216976352365,0.08770383892640538,4.329692387994945,4.243207239774355,4.412386281178552,NA,NA,NA,-1.064873339470408,-1.6844636845725884,-0.5706760284978254,0.89,median,qi
W311*-GFP+SUR-K205A,coop,fixed,0.5150797603918422,0.440316129809527,0.5787357871175587,4.096641912792482,3.8125722757600173,4.407247781334113,0.3487899806420871,0.15315612292209346,0.8101841302047091,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR-K205A,coop,individual,0.4169114977369147,0.3109838773827378,0.5113973954879456,4.202489600238784,3.9340830566781144,4.50399890202242,0.3236970291984225,0.1564051019720817,0.6855553066180294,0.13388399031143344,-0.5982549345578662,0.7330504376494666,0.89,median,qi
W311*-GFP+SUR-K205A,coop,population,0.5172694908558376,0.36157597018487614,0.6265463026037144,4.104780466633793,3.7865512131619248,4.549614599613075,0.34545061967319085,0.12293263208534526,0.8360248209835835,-0.16108589719129363,-0.9781970104594425,0.5132780028750624,0.89,median,qi
W311*-GFP+SUR-K205A,mwc,fixed,0.5237111741137395,0.43907027770506657,0.5891835962220879,3.782836872379334,3.6621763239767393,3.8986963065572984,NA,NA,NA,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR-K205A,mwc,individual,0.44895796592027126,0.35958762432138247,0.535399393667553,3.8402129219719208,3.727715747301881,3.954048026016657,NA,NA,NA,-0.026988297974306998,-0.7951308083929776,0.591032189422972,0.89,median,qi
W311*-GFP+SUR-K205A,mwc,population,0.5499246828825693,0.42873969765855857,0.6372870448511339,3.756887532840783,3.6155971267208322,3.91683556687568,NA,NA,NA,-0.37000536864167743,-1.1599231152888039,0.28673924827564157,0.89,median,qi
W311*-GFP+SUR-K205A,single,fixed,0.16635789119986594,0.11013770879524609,0.22826756025934442,3.6290153768996003,3.5147139887610988,3.7546995186479966,NA,NA,NA,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR-K205A,single,individual,0.11089653723867904,0.05395326029391387,0.19092129715722753,3.6878804456837386,3.5659632758759092,3.819266407866913,NA,NA,NA,-0.024799101906916754,-0.7787813451667261,0.5628661416975149,0.89,median,qi
W311*-GFP+SUR-K205A,single,population,0.18324906404761232,0.07957341771187465,0.2933318816939501,3.619156856593393,3.4796959441548374,3.7901065765154374,NA,NA,NA,-0.24738046121468038,-1.0884541835346762,0.40504462481725084,0.89,median,qi
W311*-GFP+SUR-K205E,coop,fixed,0.6110057085963498,0.53472428562281,0.6777322031885544,3.6520406616903704,3.374805370836317,4.083860281235716,0.4921434905076058,0.17101323508117192,0.9315298636184465,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR-K205E,coop,individual,0.4888510268096894,0.28470127805861384,0.599775382849683,3.7031045052421296,3.4417975930037947,4.253754014041119,0.49147934687922834,0.16634450662479966,0.9010150431342353,0.17357393744864089,-0.7751873443307717,1.0468682795358148,0.89,median,qi
W311*-GFP+SUR-K205E,coop,population,0.5842741890633745,0.365418805022191,0.7122440890258982,3.7086671217613567,3.3918056362588564,4.2571224322349615,0.45366220047781997,0.13397432198522746,0.9037589720932865,0.0339251104616837,-0.8995059771650887,0.8448731926297095,0.89,median,qi
W311*-GFP+SUR-K205E,mwc,fixed,0.6136435030015703,0.5344123542956403,0.6806551116148427,3.3996692136033606,3.2588972152149696,3.545229626917474,NA,NA,NA,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR-K205E,mwc,individual,0.5155354839386393,0.4044505939090638,0.6026730867595338,3.4239205390448877,3.322213765845376,3.5348585558372916,NA,NA,NA,-0.05064363562156668,-0.8914392082993742,0.6971939894707633,0.89,median,qi
W311*-GFP+SUR-K205E,mwc,population,0.6192712825783477,0.4538311919280375,0.7211851325009352,3.3987913946164636,3.241101298131353,3.5742634180378823,NA,NA,NA,-0.17716828705566876,-1.0614209998014892,0.5468069393343252,0.89,median,qi
W311*-GFP+SUR-K205E,single,fixed,0.2873158687216561,0.21718743105566515,0.36293267923939493,3.3057600157376417,3.1816882044057677,3.4392913919391312,NA,NA,NA,NA,NA,NA,0.89,median,qi
W311*-GFP+SUR-K205E,single,individual,0.2125465148528165,0.1084880032063289,0.3133759093667278,3.304987614518356,3.2021124013522657,3.415578373791343,NA,NA,NA,-0.12622218773635646,-0.9037619584010818,0.5946531152317709,0.89,median,qi
W311*-GFP+SUR-K205E,single,population,0.30463346178910256,0.15554468496641866,0.44230720430499093,3.310564010833968,3.1644431685272867,3.463611135501003,NA,NA,NA,-0.194850239445012,-0.9851292006726339,0.404022423920151,0.89,median,qi
"W311*,C166S-GFP+SUR",coop,fixed,0.7217703531522848,0.6468787371487068,0.8142328304047964,4.481168675308063,4.166963346473068,5.006763163740607,0.5177775231956678,0.13589703581434276,0.9383589655283091,NA,NA,NA,0.89,median,qi
"W311*,C166S-GFP+SUR",coop,individual,0.8022108804693769,0.3533402144800818,0.8709448941640922,4.417499838029738,4.12921703455799,4.998330348498724,0.5499245716806843,0.17598610240239573,0.9458939954415388,0.1683296902849107,-0.7887244040050573,1.1543445261962662,0.89,median,qi
"W311*,C166S-GFP+SUR",coop,population,0.8297484549982924,0.565992677144261,0.9317063222205406,4.432448151329515,4.0946551938863935,4.982102819574635,0.5178001353137621,0.13781876193872797,0.9390260184586816,0.3204501991644493,-0.7602745045579338,1.2870866385223179,0.89,median,qi
"W311*,C166S-GFP+SUR",mwc,fixed,0.7278296960865229,0.6554308455488267,0.819455579475379,4.224629881826943,4.035910339420491,4.420153509152854,NA,NA,NA,NA,NA,NA,0.89,median,qi
"W311*,C166S-GFP+SUR",mwc,individual,0.8044867083246182,0.482155492389705,0.8732207872530295,4.180326495105222,4.012292481119928,4.434493803017409,NA,NA,NA,0.15223088486077063,-0.8284396741768218,1.1219446449838242,0.89,median,qi
"W311*,C166S-GFP+SUR",mwc,population,0.8373914093333072,0.5888363937896762,0.9341090021863963,4.184328783955676,3.9707103387371765,4.41852096479967,NA,NA,NA,0.29267131557681275,-0.7854613776216514,1.207523245237671,0.89,median,qi
"W311*,C166S-GFP+SUR",single,fixed,0.443760631394187,0.2995302978698652,0.7035516956541624,4.185580684747351,3.980871907886098,4.419755262100816,NA,NA,NA,NA,NA,NA,0.89,median,qi
"W311*,C166S-GFP+SUR",single,individual,0.5946223092925527,0.4316357869051299,0.7654854980222746,4.141230449999291,3.9638863503685684,4.324134543484568,NA,NA,NA,0.10100090195787934,-0.8678597387642946,1.0176430252366182,0.89,median,qi
"W311*,C166S-GFP+SUR",single,population,0.7039165469232835,0.37842958500102303,0.8776939422525416,4.154357978018283,3.932872767004617,4.379511892452127,NA,NA,NA,0.0912397289890852,-0.9136475491632988,0.8703617255252165,0.89,median,qi
